name;company;technology;job;location;salary
Data Engineer;Talent Hills;['Data', 'Python', 'Spark', 'Hive'];data engineer;{'city': 'Warszawa', 'country': 'N/A'};{'low': 14000, 'high': 20000, 'currency': 'PLN'}
Software Development Manager - Machine Learning;Tesco Technology;['Data', 'Python', 'MLOps', 'Team management'];data analyst;{'city': 'Kraków', 'country': 'N/A'};{'low': 31000, 'high': 43000, 'currency': 'PLN'}
Senior Database Engineer with C#;Motorola Solutions Systems Polska;['Data', 'C#', 'SQL', 'NoSQL'];data engineer;{'city': 'Kraków', 'country': 'N/A'};{'low': 15000, 'high': 18000, 'currency': 'PLN'}
Senior Data Engineer;Jacobs;['Data', 'SQL', 'Data engineering', 'Product development'];data engineer;{'city': 'Krakow', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Senior Data Engineer;GOG;['Data', 'Python', 'Machine Learing', 'API'];data engineer;{'city': 'Warsaw', 'country': 'N/A'};{'low': 20000, 'high': 30000, 'currency': 'PLN'}
Senior Software Engineer (Machine Learning MLOps);Tesco Technology;['Data', 'Python', 'Machine learning', 'Splunk'];data engineer;{'city': 'Kraków', 'country': 'N/A'};{'low': 24000, 'high': 35000, 'currency': 'PLN'}
Big Data Engineer;Devire Sp. z o.o.;['Data', 'Spark', 'Degree', 'Big data'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 23520, 'high': 33600, 'currency': 'PLN'}
Senior Data Scientist;MindMics.com;['Data', 'Python', 'Critical thinking', 'Problem solving'];data scientist;{'city': 'Kraków', 'country': 'N/A'};{'low': 18000, 'high': 28000, 'currency': 'PLN'}
Senior Scala Developer;Devire;['Data', 'Scala', 'Spark', 'Jenkins pipeline'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': 25200, 'high': 29400, 'currency': 'PLN'}
Data Engineer III - Fulfillment;Tesco Technology;['Data', 'Scala', 'Hadoop', 'Kafka'];data engineer;{'city': 'Kraków', 'country': 'N/A'};{'low': 26000, 'high': 40000, 'currency': 'PLN'}
Inżynier Danych;Centralny Ośrodek Informatyki;['SQL', 'NoSQL', 'DWH', 'Databricks'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 14000, 'high': 28000, 'currency': 'PLN'}
Data Engineer;SEB (Skandinaviska Enskilda Banken);['Spark', 'CI/CD', 'Container', 'GCP'];data engineer;{'city': 'Warszawa', 'country': 'N/A'};{'low': 28000, 'high': 33000, 'currency': 'PLN'}
Big Data Architect;Addepto;['Engineer', 'Python', 'Hadoop', 'Spark'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 25000, 'high': 37800, 'currency': 'PLN'}
Data Platform Architect;Elitmind;['Engineer', 'Databricks', 'Azure', 'Data Factory'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 26880, 'high': 33936, 'currency': 'PLN'}
Mid Data Enigneer;Capco Poland;['Data', 'Spark', 'Python', 'Scala'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 21840, 'high': 25200, 'currency': 'PLN'}
Programista DWH;apreel Sp. z o.o.;['Data', 'PL/SQL', 'Python', 'ETL'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 23520, 'high': 30240, 'currency': 'PLN'}
Senior Hadoop / Big Data Developer;Nordea Bank ABP;['Data', 'Hadoop', 'Java', 'Scala'];data scientist;{'city': 'Warszawa', 'country': 'N/A'};{'low': 18850, 'high': 22700, 'currency': 'PLN'}
Data Team Lead;Falck IT Poland Sp. z o.o.;['Data', 'Python', 'Git', 'SQL'];data scientist;{'city': 'Warsaw', 'country': 'N/A'};{'low': 25000, 'high': 30000, 'currency': 'PLN'}
Big Data Developer (Snowflake);Britenet;['Data', 'Snowflake', 'Python', 'Azure IoT'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
MS SQL Developer;emagine Sp. Z o.o.;['Data', 'SQL', 'MSSQL', 'SSIS'];data scientist;{'city': 'Warsaw', 'country': 'N/A'};{'low': 21000, 'high': 23520, 'currency': 'PLN'}
Ekspert technologii Vertica;emagine Sp. Z o.o.;['Data', 'ANSI', 'SQL', 'Vertica'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 28560, 'high': 32760, 'currency': 'PLN'}
Big Data Developer;emagine Sp. Z o.o.;['Data', 'Python', 'Big data', 'Hadoop'];data scientist;{'city': 'Warsaw', 'country': 'N/A'};{'low': 18480, 'high': 23520, 'currency': 'PLN'}
Data Architect;STX Next;['Data', 'Data modelling', 'IoT', 'ETL'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Azure Architect;Brtienet;['Data', 'Azure', 'Databricks', 'DevOps'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 21840, 'high': 25200, 'currency': 'PLN'}
Senior PL/SQL Developer;Ness Solution Sp. z o. o.;['Data', 'SQL', 'PL/SQL', 'Oracle'];data scientist;{'city': 'Warszawa', 'country': 'N/A'};{'low': 21840, 'high': 27300, 'currency': 'PLN'}
Software Development Manager - Machine Learning;Tesco Technology;['Data', 'Python', 'MLOps', 'Team management'];data scientist;{'city': 'Kraków', 'country': 'N/A'};{'low': 31000, 'high': 43000, 'currency': 'PLN'}
SQL Developer;XTB;['Data', 'SQL', 'T-SQL', 'SSIS'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 10080, 'high': 17136, 'currency': 'PLN'}
Digital Advisor (Data&AI) - Dubai based;Elitmind;['Data', 'BI', 'Big data', 'Azure'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 22008, 'high': 27048, 'currency': 'PLN'}
Big Data Architect;Addepto;['Data', 'Python', 'Hadoop', 'Spark'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 25000, 'high': 37800, 'currency': 'PLN'}
Digital Advisor (Data & AI);Elitmind;['Data', 'BI', 'Big data', 'Azure'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 22008, 'high': 27048, 'currency': 'PLN'}
Analityk Biznesowy Systemów Logistycznych WMS;Inter Cars S.A.;['Data', 'SQL', 'BPMN', 'Polish'];data scientist;{'city': 'Warszawa', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Młodszy Analityk Ubezpieczeniowy;TUZ Ubezpieczenia;['Data', 'SQL', 'MS Office', 'CI'];data scientist;{'city': 'Warszawa', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Administrator Big Data;Centrum Informatyki Statystycznej;['Data', 'Python', 'Data science', 'Linux'];data scientist;{'city': 'Warszawa', 'country': 'N/A'};{'low': 8000, 'high': 14000, 'currency': 'PLN'}
Data Platform Architect;Elitmind;['Data', 'Databricks', 'Azure', 'Data Factory'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 26880, 'high': 33936, 'currency': 'PLN'}
Inżynier Danych;Centralny Ośrodek Informatyki;['Data', 'SQL', 'NoSQL', 'DWH'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 14000, 'high': 28000, 'currency': 'PLN'}
Senior Analityk Danych / Analityczka Danych;Alterdata.io sp. z o.o.;['Data', 'SQL', 'Python', 'AWS'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 15000, 'high': 21000, 'currency': 'PLN'}
IT Systems Integration Specialist (SQL);Power Media;['Data', 'SQL', 'PL/SQL', 'T-SQL'];data scientist;{'city': 'Kraków', 'country': 'N/A'};{'low': 12000, 'high': 16000, 'currency': 'PLN'}
Analityk Danych / Analityczka Danych;Alterdata.io sp. z o.o.;['Data', 'SQL', 'Python', 'AWS'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 7000, 'high': 11000, 'currency': 'PLN'}
Senior Scala Developer;Devire;['Data', 'Scala', 'Spark', 'Jenkins pipeline'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 25200, 'high': 29400, 'currency': 'PLN'}
Starszy/a Specjalista/stka ds. Aktuarialnych;UNIQA Polska;['Data', 'Python', 'SQL', 'English'];data scientist;{'city': 'Warszawa', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Młodszy/a Specjalista/stka ds. Aktuarialnych;UNIQA Polska;['Data', 'Python', 'SQL', 'English'];data scientist;{'city': 'Warszawa', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Specjalista ds. pracy z danymi;Polskie Technologie;['Data', 'Python', 'SQL', 'SQL Server'];data scientist;{'city': 'Warszawa', 'country': 'N/A'};{'low': 5000, 'high': 10000, 'currency': 'PLN'}
Salesforce Consultant;InfiniteDATA;['Data', 'SQL', 'Snowflake', 'Salesforce'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 28560, 'high': 35280, 'currency': 'PLN'}
